"","HHID_panel","caste","jatis","cat_income","cat_assets","villageid","villagearea","sbd_annualincome","sbd_assets_noland","sbd_loanamount","sbd_dsr","sbd_dar","sbd_dsr","sbd_dar","sbd_assets_noland","sbd_annualincome","clust"
"16","ELA24","Dalits","SC","T2 in.","T3 as.","ELA","Colony","Sta-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","4"
"17","ELA26","Dalits","SC","T3 in.","T3 as.","ELA","Colony","Sta-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","4"
"18","ELA27","Dalits","SC","T3 in.","T2 as.","ELA","Colony","Dec-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","4"
"19","ELA30","Middle","Vanniyar","T2 in.","T2 as.","ELA","Ur","Dec-Inc","Inc-Inc","Dec-Inc","Dec-Inc","Dec-Inc","sbd_dsr_Dec-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","3"
"20","ELA31","Dalits","SC","T1 in.","T2 as.","ELA","Colony","Inc-Dec","DEC-INC","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Inc-Dec","1"
"21","ELA33","Middle","Vanniyar","T2 in.","T2 as.","ELA","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","2"
"22","ELA35","Dalits","SC","T3 in.","T2 as.","ELA","Colony","Dec-Sta","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","4"
"23","ELA36","Dalits","SC","T2 in.","T2 as.","ELA","Colony","Dec-Inc","DEC-INC","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Dec-Inc","1"
"24","ELA37","Dalits","SC","T2 in.","T3 as.","ELA","Colony","Dec-Inc","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","4"
"25","ELA38","Dalits","SC","T2 in.","T2 as.","ELA","Colony","Dec-Inc","Dec-Inc","Dec-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","2"
"26","ELA39","Middle","Vanniyar","T3 in.","T2 as.","ELA","Ur","Sta-Dec","Inc-Inc","Inc-Inc","INC-INC","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Sta-Dec","4"
"27","ELA4","Dalits","SC","T3 in.","T2 as.","ELA","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","sbd_annualincome_Inc-Dec","2"
"28","ELA40","Dalits","SC","T2 in.","T3 as.","ELA","Colony","Dec-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","4"
"29","ELA41","Dalits","SC","T3 in.","T3 as.","ELA","Colony","Dec-Sta","Dec-Dec","Dec-Inc","Inc-Inc","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","3"
"30","ELA42","Middle","Nattar","T1 in.","T3 as.","ELA","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","2"
"31","ELA43","Middle","Nattar","T2 in.","T2 as.","ELA","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"32","ELA44","Dalits","SC","T1 in.","T3 as.","ELA","Colony","Inc-Dec","DEC-INC","Dec-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Inc-Dec","1"
"33","ELA45","Dalits","SC","T2 in.","T1 as.","ELA","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"34","ELA49","Middle","Padayachi","T2 in.","T2 as.","ELA","Ur","Dec-Inc","DEC-INC","Inc-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Dec-Inc","1"
"35","ELA5","Middle","Padayachi","T3 in.","T3 as.","ELA","Ur","Inc-Dec","DEC-INC","Inc-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Inc-Dec","1"
"36","ELA50","Dalits","SC","T3 in.","T1 as.","ELA","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"37","ELA52","Dalits","SC","T2 in.","T2 as.","ELA","Colony","Inc-Dec","DEC-INC","Inc-Inc","Inc-Inc","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Inc-Dec","1"
"38","ELA6","Dalits","SC","T3 in.","T1 as.","ELA","Colony","Dec-Sta","Dec-Inc","Dec-Inc","INC-INC","Dec-Inc","sbd_dsr_INC-INC","sbd_dar_Dec-Inc","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Sta","3"
"39","ELA7","Middle","Nattar","T3 in.","T1 as.","ELA","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","2"
"40","ELA8","Dalits","SC","T2 in.","T3 as.","ELA","Colony","Dec-Sta","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Sta","3"
"41","ELA9","Dalits","SC","T3 in.","T1 as.","ELA","Colony","Dec-Sta","Inc-Inc","Inc-Inc","INC-INC","Dec-Dec","sbd_dsr_INC-INC","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Sta","4"
"42","GOV11","Upper","Mudaliar","T1 in.","T2 as.","GOV","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"43","GOV13","Upper","Mudaliar","T2 in.","T3 as.","GOV","Ur","Dec-Inc","Dec-Dec","Dec-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","4"
"44","GOV14","Upper","Mudaliar","T3 in.","T2 as.","GOV","Ur","Sta-Dec","Dec-Dec","Inc-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","4"
"45","GOV17","Upper","Mudaliar","T3 in.","T3 as.","GOV","Ur","Dec-Inc","DEC-INC","Inc-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Dec-Inc","1"
"46","GOV18","Upper","Mudaliar","T3 in.","T3 as.","GOV","Ur","Sta-Dec","Dec-Dec","Inc-Dec","Inc-Inc","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","4"
"47","GOV19","Upper","Mudaliar","T1 in.","T3 as.","GOV","Ur","Inc-Dec","DEC-INC","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_DEC-INC","sbd_annualincome_Inc-Dec","1"
"48","GOV2","Upper","Mudaliar","T3 in.","T3 as.","GOV","Ur","Inc-Dec","Dec-Dec","Inc-Dec","Sta-Dec","Inc-Dec","sbd_dsr_Sta-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Dec","sbd_annualincome_Inc-Dec","1"
"49","GOV20","Upper","Mudaliar","T3 in.","T2 as.","GOV","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","1"
"50","GOV21","Upper","Mudaliar","T2 in.","T3 as.","GOV","Ur","Inc-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Inc-Dec","4"
"51","GOV22","Upper","Mudaliar","T2 in.","T3 as.","GOV","Ur","Dec-Inc","Dec-Dec","Inc-Dec","Sta-Dec","Inc-Dec","sbd_dsr_Sta-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","1"
"52","GOV23","Upper","Mudaliar","T3 in.","T1 as.","GOV","Ur","Dec-Inc","Inc-Inc","Dec-Inc","Inc-Inc","Dec-Inc","sbd_dsr_Inc-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","3"
"53","GOV25","Upper","Mudaliar","T1 in.","T2 as.","GOV","Ur","Inc-Dec","Dec-Dec","Inc-Dec","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Inc-Dec","4"
"54","GOV26","Upper","Mudaliar","T3 in.","T3 as.","GOV","Ur","Dec-Sta","Dec-Dec","Inc-Dec","INC-INC","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","4"
"55","GOV28","Upper","Mudaliar","T3 in.","T3 as.","GOV","Ur","Inc-Dec","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Inc-Dec","4"
"56","GOV29","Upper","Mudaliar","T2 in.","T3 as.","GOV","Ur","Inc-Dec","Dec-Dec","Dec-Inc","Dec-Inc","Dec-Inc","sbd_dsr_Dec-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Inc-Dec","3"
"57","GOV3","Upper","Mudaliar","T1 in.","T2 as.","GOV","Ur","Inc-Dec","Inc-Inc","Inc-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","1"
"58","GOV31","Upper","Mudaliar","T2 in.","T3 as.","GOV","Ur","Dec-Inc","DEC-INC","Inc-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Dec-Inc","1"
"59","GOV32","Upper","Mudaliar","T3 in.","T3 as.","GOV","Ur","Dec-Sta","Dec-Dec","Dec-Inc","Dec-Inc","Dec-Inc","sbd_dsr_Dec-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","3"
"60","GOV33","Upper","Mudaliar","T1 in.","T3 as.","GOV","Ur","Dec-Inc","DEC-INC","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Dec-Inc","1"
"61","GOV34","Upper","Mudaliar","T2 in.","T2 as.","GOV","Ur","Inc-Dec","Dec-Dec","Dec-Inc","Dec-Inc","Dec-Dec","sbd_dsr_Dec-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Dec","sbd_annualincome_Inc-Dec","3"
"62","GOV35","Upper","Mudaliar","T1 in.","T2 as.","GOV","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"63","GOV37","Upper","Mudaliar","T1 in.","T1 as.","GOV","Ur","Dec-Inc","Inc-Inc","Inc-Dec","Sta-Dec","Dec-Dec","sbd_dsr_Sta-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"64","GOV38","Middle","Kulalar","T1 in.","T3 as.","GOV","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","2"
"65","GOV39","Upper","Mudaliar","T2 in.","T3 as.","GOV","Ur","Dec-Sta","Dec-Dec","Inc-Dec","Sta-Dec","Inc-Dec","sbd_dsr_Sta-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","4"
"66","GOV4","Upper","Mudaliar","T2 in.","T2 as.","GOV","Ur","Inc-Dec","DEC-INC","Inc-Dec","Sta-Dec","Inc-Dec","sbd_dsr_Sta-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Inc-Dec","1"
"67","GOV40","Upper","Mudaliar","T1 in.","T3 as.","GOV","Ur","Dec-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","4"
"68","GOV41","Upper","Mudaliar","T1 in.","T2 as.","GOV","Ur","Dec-Inc","Dec-Inc","Inc-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","1"
"69","GOV42","Upper","Mudaliar","T2 in.","T3 as.","GOV","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Sta-Dec","Inc-Inc","sbd_dsr_Sta-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","2"
"70","GOV44","Middle","Vanniyar","T2 in.","T2 as.","GOV","Ur","Inc-Dec","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","2"
"71","GOV45","Upper","Mudaliar","T1 in.","T3 as.","GOV","Ur","Inc-Dec","Dec-Dec","Inc-Inc","Dec-Inc","Inc-Inc","sbd_dsr_Dec-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Inc-Dec","3"
"72","GOV46","Upper","Mudaliar","T1 in.","T3 as.","GOV","Ur","Dec-Inc","Dec-Inc","Dec-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","2"
"73","GOV48","Upper","Mudaliar","T2 in.","T1 as.","GOV","Ur","Sta-Dec","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Inc","sbd_dsr_Dec-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Sta-Dec","3"
"74","GOV50","Upper","Mudaliar","T1 in.","T3 as.","GOV","Ur","Dec-Inc","DEC-INC","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","sbd_annualincome_Dec-Inc","1"
"75","GOV51","Upper","Mudaliar","T3 in.","T1 as.","GOV","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Sta-Dec","Inc-Inc","sbd_dsr_Sta-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"76","GOV52","Upper","Mudaliar","T1 in.","T3 as.","GOV","Ur","Dec-Inc","Dec-Dec","Inc-Inc","Sta-Dec","Inc-Inc","sbd_dsr_Sta-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Inc","4"
"77","GOV6","Upper","Mudaliar","T2 in.","T1 as.","GOV","Ur","Inc-Dec","Inc-Inc","Inc-Dec","Inc-Inc","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","2"
"78","GOV7","Upper","Mudaliar","T3 in.","T3 as.","GOV","Ur","Dec-Sta","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","4"
"79","KAR10","Middle","Vanniyar","T1 in.","T1 as.","KAR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"80","KAR11","Middle","Vanniyar","T3 in.","T3 as.","KAR","Ur","Sta-Dec","Inc-Inc","Inc-Dec","INC-INC","Dec-Dec","sbd_dsr_INC-INC","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Sta-Dec","4"
"81","KAR12","Middle","Vanniyar","T1 in.","T2 as.","KAR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"82","KAR13","Dalits","Arunthathiyar","T1 in.","T1 as.","KAR","Colony","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","1"
"83","KAR14","Middle","Vanniyar","T2 in.","T2 as.","KAR","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Inc-Dec","1"
"84","KAR15","Middle","Vanniyar","T2 in.","T2 as.","KAR","Ur","Sta-Dec","Dec-Dec","Inc-Inc","INC-INC","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Sta-Dec","4"
"85","KAR17","Middle","Vanniyar","T2 in.","T2 as.","KAR","Ur","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","sbd_annualincome_Inc-Dec","2"
"86","KAR18","Dalits","SC","T1 in.","T1 as.","KAR","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","sbd_annualincome_Inc-Dec","2"
"87","KAR19","Dalits","SC","T1 in.","T3 as.","KAR","Colony","Inc-Dec","Dec-Dec","Dec-Inc","Inc-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Inc-Dec","4"
"88","KAR2","Middle","Vanniyar","T1 in.","T2 as.","KAR","Ur","Dec-Inc","Inc-Inc","Dec-Inc","Dec-Dec","Dec-Inc","sbd_dsr_Dec-Dec","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","3"
"89","KAR20","Dalits","SC","T3 in.","T1 as.","KAR","Colony","Sta-Dec","Inc-Inc","Inc-Dec","Inc-Inc","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Sta-Dec","2"
"90","KAR21","Dalits","SC","T2 in.","T2 as.","KAR","Colony","Dec-Sta","Dec-Dec","Inc-Inc","INC-INC","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","sbd_annualincome_Dec-Sta","4"
"91","KAR23","Dalits","SC","T1 in.","T2 as.","KAR","Colony","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","sbd_annualincome_Dec-Inc","2"
"92","KAR25","Middle","Vanniyar","T1 in.","T2 as.","KAR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
"93","KAR26","Dalits","SC","T2 in.","T1 as.","KAR","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Dec-Dec","sbd_dsr_Dec-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","3"
"94","KAR27","Middle","Vanniyar","T3 in.","T3 as.","KAR","Ur","Dec-Inc","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","sbd_annualincome_Dec-Inc","2"
